Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut	SiDom
He	4	2	400	1.21042	1	1000	0	1490.73	1170.03	35.866	36.526	33.172	4.02	0.780017	0.249885	1.75399e-06	2.2754e-06	0.4
He	4	2	400	1.21042	2	1000	0	2980.83	2340.14	71.485	72.691	65.694	8.351	0.608816	0.49909	2.73608e-06	4.54695e-06	0.4
He	4	2	400	1.21042	4	1000	0	5962.1	4681.73	143.62	146.141	129.831	19.882	0.36322	1.01916	3.33659e-06	9.3057e-06	0.4
He	4	2	800	0.931308	0.5	1000	0	968.734	760.274	17.384	17.685	16.236	1.73	0.887638	0.119885	9.56335e-07	1.0902e-06	0.4
He	4	2	800	0.931308	1	1000	0	1937.45	1521.05	35.035	35.645	32.554	3.716	0.785547	0.242802	1.71497e-06	2.20952e-06	0.4
He	4	2	800	0.931308	2	1000	0	3874.51	3041.82	70.274	71.471	64.752	8.081	0.614341	0.490051	2.70989e-06	4.46374e-06	0.4
He	4	2	800	0.931308	4	1000	0	7748.6	6083.78	140.905	143.372	128.052	18.546	0.371956	0.994961	3.3354e-06	9.07841e-06	0.4
He	4	2	1000	0.883102	0.5	1000	0	1021.68	801.829	17.197	17.517	16.081	1.737	0.888532	0.118865	9.494e-07	1.08109e-06	0.4
He	4	2	1000	0.883102	1	1000	0	2042.86	1603.85	34.056	34.614	31.652	3.532	0.791321	0.235389	1.67507e-06	2.14154e-06	0.4
He	4	2	1000	0.883102	2	1000	0	4086.12	3208.1	69.547	70.732	64.138	8.001	0.617406	0.485002	2.69581e-06	4.41777e-06	0.4
He	4	2	1000	0.883102	4	1000	0	8171.53	6416.04	139.096	141.544	126.325	18.46	0.376511	0.983042	3.3339e-06	8.97066e-06	0.4
He	4	2	1600	0.827428	0.5	1000	0	1090.3	855.675	16.133	16.424	15.055	1.633	0.895102	0.111471	8.96711e-07	1.01386e-06	0.4
He	4	2	1600	0.827428	1	1000	0	2180.27	1711.82	32.795	33.369	30.496	3.522	0.797576	0.22752	1.63177e-06	2.07074e-06	0.4
He	4	2	1600	0.827428	2	1000	0	4360.91	3424	65.731	66.842	60.701	7.354	0.634697	0.457273	2.6114e-06	4.16381e-06	0.4
He	4	2	1600	0.827428	4	1000	0	8721.36	6847.54	131.787	134.045	120.022	16.94	0.397472	0.928197	3.32413e-06	8.4666e-06	0.4
C	12	6	10	163.773	0.5	1000	0	5.422	4.04	14.505	16.71	5.765	43.686	0.773676	0.327737	1.54622e-06	3.26442e-06	0.4
C	12	6	10	163.773	1	1000	0	10.368	8.142	29.166	33.553	11.928	85.617	0.599764	0.64736	2.42065e-06	6.44309e-06	0.4
C	12	6	10	163.773	2	1000	0	21.948	17.108	59.104	68.119	24.227	176.228	0.355385	1.32655	2.88233e-06	1.32087e-05	0.4
C	12	6	10	163.773	4	1000	0	44.007	34.315	120.956	139.261	49.234	362.433	0.115833	2.72297	1.99416e-06	2.71182e-05	0.4
C	12	6	50	44.7632	0.5	1000	0	20.1	15.654	17.181	18.066	11.499	11.806	0.845461	0.173665	1.29948e-06	1.64707e-06	0.4
C	12	6	50	44.7632	1	1000	0	40.133	31.313	34.633	36.269	22.871	24.566	0.711164	0.353056	2.21985e-06	3.35257e-06	0.4
C	12	6	50	44.7632	2	1000	0	80.544	62.968	70.153	73.491	46.159	50.112	0.500869	0.717095	3.16647e-06	6.811e-06	0.4
C	12	6	50	44.7632	4	1000	0	161.172	126.46	140.677	147.508	91.736	102.259	0.247585	1.44787	3.16345e-06	1.37598e-05	0.4
C	12	6	100	26.1954	0.5	1000	0	34.248	26.68	17.502	18.088	13.115	7.569	0.861311	0.152195	1.17861e-06	1.42319e-06	0.4
C	12	6	100	26.1954	1	1000	0	68.705	53.657	35.555	36.754	26.668	15.227	0.738682	0.308473	2.05208e-06	2.88373e-06	0.4
C	12	6	100	26.1954	2	1000	0	137.615	107.973	71.498	73.909	53.394	31.05	0.542931	0.622504	3.04027e-06	5.82177e-06	0.4
C	12	6	100	26.1954	4	1000	0	275.393	216.387	143.086	147.908	105.663	64.426	0.291135	1.25743	3.2982e-06	1.17722e-05	0.4
C	12	6	200	16.1398	0.5	1000	0	55.862	43.567	17.746	18.201	14.4	5.136	0.870396	0.140496	1.10418e-06	1.30029e-06	0.4
C	12	6	200	16.1398	1	1000	0	111.732	87.522	35.962	36.877	29.212	10.494	0.754633	0.285107	1.94077e-06	2.6392e-06	0.4
C	12	6	200	16.1398	2	1000	0	223.663	175.6	72.151	73.978	58.134	21.504	0.567087	0.574252	2.94124e-06	5.31846e-06	0.4
C	12	6	200	16.1398	4	1000	0	447.139	350.934	144.523	148.335	115.391	45.351	0.317443	1.16283	3.33126e-06	1.07828e-05	0.4
C	12	6	400	10.8938	0.5	1000	0	82.727	64.616	17.679	18.06	15.077	3.947	0.876191	0.133546	1.05441e-06	1.22916e-06	0.4
C	12	6	400	10.8938	1	1000	0	165.678	130.048	35.731	36.556	30.465	7.838	0.765627	0.269545	1.86316e-06	2.47996e-06	0.4
C	12	6	400	10.8938	2	1000	0	331.277	260.171	71.161	72.803	60.304	15.87	0.587042	0.53814	2.84747e-06	4.95278e-06	0.4
C	12	6	400	10.8938	4	1000	0	662.628	520.145	142.92	146.125	119.388	34.723	0.338612	1.09475	3.34273e-06	1.00934e-05	0.4
C	12	6	800	8.38177	0.5	1000	0	107.613	84.232	17.266	17.628	15.107	3.13	0.881937	0.126667	1.0073e-06	1.16137e-06	0.4
C	12	6	800	8.38177	1	1000	0	215.314	169.047	34.875	35.59	30.542	6.253	0.776253	0.255396	1.78678e-06	2.34121e-06	0.4
C	12	6	800	8.38177	2	1000	0	430.472	337.889	69.609	70.971	60.454	13.199	0.601309	0.513013	2.78171e-06	4.70745e-06	0.4
C	12	6	800	8.38177	4	1000	0	861.093	675.991	139.866	142.836	119.743	29.187	0.354434	1.04586	3.35017e-06	9.61355e-06	0.4
C	12	6	1000	7.94792	0.5	1000	0	113.325	88.787	17.103	17.449	15.076	2.953	0.883749	0.12464	9.91714e-07	1.14186e-06	0.4
C	12	6	1000	7.94792	1	1000	0	227.094	178.279	34.526	35.254	30.284	6.204	0.778071	0.253036	1.77439e-06	2.31964e-06	0.4
C	12	6	1000	7.94792	2	1000	0	454.127	356.378	68.728	70.182	59.958	12.706	0.60556	0.505544	2.76328e-06	4.63672e-06	0.4
C	12	6	1000	7.94792	4	1000	0	907.979	712.7	138.071	140.889	118.975	27.366	0.36227	1.02435	3.34702e-06	9.40689e-06	0.4
C	12	6	1600	7.44685	0.5	1000	0	121.078	94.846	16.255	16.59	14.423	2.692	0.889623	0.117914	9.44521e-07	1.0795e-06	0.4
C	12	6	1600	7.44685	1	1000	0	242.35	190.291	32.74	33.377	28.923	5.461	0.790159	0.237459	1.68953e-06	2.17421e-06	0.4
C	12	6	1600	7.44685	2	1000	0	484.632	380.331	65.334	66.659	57.382	11.494	0.623042	0.477238	2.67736e-06	4.37345e-06	0.4
C	12	6	1600	7.44685	4	1000	0	969.111	760.546	130.002	132.588	112.793	24.77	0.386283	0.95898	3.34321e-06	8.80038e-06	0.4
O	16	8	10	287.268	0.5	1000	0	3.142	2.225	11.426	14.23	4.071	62.332	0.783252	0.407258	1.17562e-06	4.11515e-06	0.4
O	16	8	10	287.268	1	1000	0	6.189	4.685	26.695	33.46	9.298	150.821	0.560531	0.979316	2.01862e-06	9.90234e-06	0.4
O	16	8	10	287.268	2	1000	0	12.534	9.686	54.385	68.095	19.237	304.663	0.314987	1.98142	2.2511e-06	2.00315e-05	0.4
O	16	8	10	287.268	4	1000	0	25.001	19.479	111.262	139.22	38.86	633.082	0.0903731	4.10302	1.34739e-06	4.14963e-05	0.4
O	16	8	50	79.5714	0.5	1000	0	10.644	8.331	16.056	17.194	9.184	18.656	0.827417	0.203124	1.41006e-06	1.96181e-06	0.4
O	16	8	50	79.5714	1	1000	0	22.633	17.634	33.262	35.663	19.003	40.183	0.671562	0.428897	2.39471e-06	4.14814e-06	0.4
O	16	8	50	79.5714	2	1000	0	45.12	35.165	67.407	72.169	38.444	79.91	0.449833	0.860762	3.2238e-06	8.31964e-06	0.4
O	16	8	50	79.5714	4	1000	0	90.657	70.918	136.823	146.648	76.979	169.611	0.190589	1.78597	2.83527e-06	1.72899e-05	0.4
O	16	8	100	46.5694	0.5	1000	0	19.376	15.071	17.203	17.998	11.559	11.6	0.846528	0.172187	1.29207e-06	1.63229e-06	0.4
O	16	8	100	46.5694	1	1000	0	38.634	30.106	34.785	36.376	23.282	23.77	0.713136	0.349668	2.20821e-06	3.31631e-06	0.4
O	16	8	100	46.5694	2	1000	0	77.265	60.378	70.497	73.694	46.66	49.928	0.50048	0.717431	3.16885e-06	6.81268e-06	0.4
O	16	8	100	46.5694	4	1000	0	154.958	121.585	140.569	147.027	92.653	99.735	0.251577	1.43198	3.17449e-06	1.35986e-05	0.4
O	16	8	200	28.693	0.5	1000	0	31.307	24.374	17.53	18.164	13.086	7.795	0.860188	0.153824	1.18592e-06	1.43949e-06	0.4
O	16	8	200	28.693	1	1000	0	62.682	48.971	35.252	36.464	26.419	15.178	0.740475	0.306402	2.03799e-06	2.86476e-06	0.4
O	16	8	200	28.693	2	1000	0	125.781	98.549	71.215	73.574	53.041	31.322	0.543054	0.621787	3.04333e-06	5.81731e-06	0.4
O	16	8	200	28.693	4	1000	0	251.618	197.579	143.344	148.096	105.457	65.657	0.289834	1.26489	3.28877e-06	1.18482e-05	0.4
O	16	8	400	19.3667	0.5	1000	0	46.536	36.237	17.489	17.977	14.076	5.374	0.870641	0.140303	1.10295e-06	1.3003e-06	0.4
O	16	8	400	19.3667	1	1000	0	93.105	72.841	35.452	36.412	28.406	10.964	0.755191	0.284584	1.93825e-06	2.63792e-06	0.4
O	16	8	400	19.3667	2	1000	0	186.349	146.376	70.947	72.906	56.619	22.554	0.568362	0.572875	2.93581e-06	5.31373e-06	0.4
O	16	8	400	19.3667	4	1000	0	372.645	292.594	142.189	146.104	111.597	48.714	0.317081	1.16597	3.33187e-06	1.08356e-05	0.4
O	16	8	800	14.9009	0.5	1000	0	60.404	47.167	17.101	17.529	14.206	4.308	0.877573	0.132053	1.04522e-06	1.21837e-06	0.4
O	16	8	800	14.9009	1	1000	0	121.039	94.834	34.652	35.43	28.91	8.527	0.768792	0.265988	1.84195e-06	2.45301e-06	0.4
O	16	8	800	14.9009	2	1000	0	242.315	190.25	70.293	71.997	58.342	17.896	0.583886	0.543411	2.86935e-06	5.01493e-06	0.4
O	16	8	800	14.9009	4	1000	0	484.188	380.048	139.79	143.122	114.359	38.6	0.338578	1.09567	3.3492e-06	1.01298e-05	0.4
O	16	8	1000	14.1296	0.5	1000	0	63.749	49.815	16.727	17.148	14.129	3.922	0.881234	0.127692	1.01587e-06	1.17635e-06	0.4
O	16	8	1000	14.1296	1	1000	0	127.691	100.076	34.226	35.009	28.741	8.152	0.772046	0.261432	1.82075e-06	2.40932e-06	0.4
O	16	8	1000	14.1296	2	1000	0	255.398	200.55	68.939	70.496	57.548	16.958	0.592383	0.529201	2.82892e-06	4.88036e-06	0.4
O	16	8	1000	14.1296	4	1000	0	510.831	401.088	138.015	141.143	113.778	36.279	0.346829	1.0714	3.35076e-06	9.8948e-06	0.4
O	16	8	1600	13.2388	0.5	1000	0	68.087	53.206	16.106	16.469	13.775	3.396	0.887243	0.120745	9.66557e-07	1.11008e-06	0.4
O	16	8	1600	13.2388	1	1000	0	136.274	106.854	32.224	32.909	27.495	6.854	0.787147	0.241624	1.71532e-06	2.22181e-06	0.4
O	16	8	1600	13.2388	2	1000	0	272.572	214.142	65.125	66.572	55.118	14.631	0.613836	0.49269	2.73035e-06	4.53522e-06	0.4
O	16	8	1600	13.2388	4	1000	0	545.142	427.88	130.063	132.9	108.665	31.537	0.373577	0.995451	3.35296e-06	9.17755e-06	0.4
Ne	20	10	10	440.359	0.5	1000	0	2.02	1.387	9.772	13.311	3.222	86.318	0.788446	0.523815	9.01577e-07	5.33773e-06	0.4
Ne	20	10	10	440.359	1	1000	0	4.064	2.929	22.091	30.471	7.14	209.458	0.602452	1.25959	1.41165e-06	1.28492e-05	0.4
Ne	20	10	10	440.359	2	1000	0	7.925	6.11	49.783	68.22	16.304	460.673	0.317815	2.77785	1.74905e-06	2.83279e-05	0.4
Ne	20	10	10	440.359	4	1000	0	16.293	12.62	101.237	138.815	32.888	958.266	0.0947624	5.75891	1.08022e-06	5.87515e-05	0.4
Ne	20	10	50	124.291	0.5	1000	0	7.083	5.441	15.874	17.473	8.113	28.837	0.800564	0.256799	1.51912e-06	2.51851e-06	0.4
