Sample_ID,Fe_avg_nfoci_0_4h,Ar_avg_nfoci_0_4h,Si_avg_nfoci_0_4h,Gamma_avg_nfoci_0_4h,baseline_nfoci
1359,2.326842459,3.111065055,2.800670353,2.394532913,2.658277695
1360,2.754161412,3.768242276,3.491200556,1.887412166,2.975254103
1361,2.401623276,2.34564688,3.300709465,2.003071284,2.512762726
1362,1.963621348,2.183285449,2.360159706,1.558228524,2.016323757
1363,1.888840531,1.703932652,2.705424808,1.460363117,1.939640277
1365,1.696547002,1.595691698,2.895915898,1.798443614,1.996649553
1366,1.888840531,1.441061763,2.705424808,1.718371917,1.938424755
1367,0.895323963,1.270968836,2.122045843,1.220148026,1.377121667
1368,1.429472656,1.417867273,2.764953273,1.131179474,1.685868169
1369,1.632449159,1.541571221,2.848293125,1.344703999,1.841754376
1370,1.461521577,1.858562586,1.62200673,1.727268773,1.667339917
1371,2.487087066,1.858562586,1.8482149,1.878515311,2.018094966
1372,1.675181054,2.121433475,1.526761185,2.029761849,1.838284391
1373,1.696547002,1.487450744,2.253008467,1.682784497,1.779947677
1374,1.80337674,1.464256254,2.705424808,1.922999587,1.974014347
1375,1.52561942,1.510645234,2.372065399,1.682784497,1.772778637
1376,1.739278897,1.727127142,1.324364401,1.567125379,1.589473955
1377,1.653815106,1.371478293,2.253008467,1.513744248,1.698011529
1378,1.974304322,1.773516122,2.860198819,1.6027128,2.052683016
1379,1.344008865,1.595691698,2.741141887,1.15787004,1.709678122
1380,1.322642917,1.788979116,2.931632978,1.166766895,1.802505476
1381,1.461521577,1.587960201,3.134029761,0.721924135,1.726358919
1385,1.685864028,1.44879326,1.800592127,2.074246125,1.752373885
1386,2.08113406,1.85083109,1.336270094,2.163214677,1.85786248
1387,1.183764257,1.665275168,2.07442307,1.673887641,1.649337534
1388,1.002153702,1.309626319,2.145857229,1.104488908,1.39053154
1389,2.123865956,1.935877554,2.217291388,1.940793297,2.054457049
1390,2.316159485,1.727127142,2.229197081,2.385636057,2.164529941
1391,1.514936446,1.858562586,2.372065399,1.424775696,1.792585032
1392,1.536302394,1.595691698,2.348254013,1.140076329,1.655081108
1394,1.675181054,1.611154691,1.764875048,1.647197076,1.674601967
1395,2.508453014,1.92041456,1.943460445,2.252183229,2.156127812
1396,2.113182982,2.013192521,1.39579856,1.647197076,1.792342785
1397,2.519135988,1.951340547,1.967271832,1.922999587,2.090186988
1398,1.52561942,2.020924017,1.776780741,1.84292789,1.791563017
1399,1.579034289,1.866294083,2.038705991,1.762856193,1.811722639
1400,1.739278897,1.688469658,1.586289651,1.6027128,1.654187751
1401,2.369574354,2.044118508,2.383971092,1.82513418,2.155699533
1402,1.707229976,1.649812175,1.669629503,1.860721601,1.721848313
1403,1.835425662,1.665275168,2.383971092,1.798443614,1.920778884
1404,1.643132133,1.263237339,2.812576046,0.95324237,1.668046972
1406,1.995469909,2.093132594,3.179271472,2.128088673,2.348990662
1407,2.33234133,2.43569353,1.464313953,2.314506458,2.136713818
1408,2.345816187,2.449395967,1.893053332,2.444998907,2.283316098
1409,1.968520196,2.06572772,2.011326265,2.333148236,2.094680604
1410,1.941570482,2.038322845,1.893053332,1.811178438,1.921031274
1411,1.806821913,1.901298471,2.292224479,2.128088673,2.032108384
1412,2.251492189,2.353478905,1.907837449,2.556849578,2.26741453
1413,1.550799633,1.64095216,1.272120438,1.345133976,1.452251552
1414,1.240877926,1.3257961,1.715643934,1.121432634,1.350937648
1415,2.628788181,2.737147153,2.085246847,1.829820217,2.320250599
1416,2.238017332,2.271264281,1.523450419,1.550193539,1.895731393
1417,1.200453355,1.284688787,1.952189799,1.307850419,1.43629559
1419,2.170643048,2.271264281,3.297544404,1.624760653,2.341053097
1420,1.510375063,1.599844848,3.134919122,1.401059311,1.911549586
1421,2.264967046,2.367181343,2.676611509,1.456984647,2.191436136
1422,2.440140185,2.545313029,1.952189799,1.158716191,2.024089801
1423,1.806821913,1.901298471,2.129599197,1.941670888,1.944847617
1424,2.723112179,2.833064214,3.223623821,2.184014008,2.740953556
1425,1.375626494,1.462820474,1.996542148,1.736611324,1.64290011
1426,2.884810461,2.997493463,2.794884441,2.128088673,2.70131926
1427,1.065704787,1.147664413,2.410497411,1.960312666,1.646044819
1428,2.03589448,2.134239907,2.366145062,1.531551761,2.016957802
1429,1.56427449,1.654654597,2.247872129,1.755253103,1.80551358
1430,3.194732168,3.312649524,3.267976171,1.568835318,2.836048295
