Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
C5	Foci_processed_11-Sep-2020	113	 0.54	 1.08	96	 0.57	 1.08	722.81	494.20	 0.53	10539.18	 1.04	2288.29
C6	Foci_processed_11-Sep-2020	801	 0.56	 1.29	682	 0.57	 1.25	797.64	607.17	 0.55	10130.10	 1.08	2437.43
C7	Foci_processed_11-Sep-2020	76	 0.68	 1.71	57	 0.63	 1.63	739.22	500.36	 0.59	9688.49	 1.05	2496.05
C8	Foci_processed_11-Sep-2020	801	 0.29	 0.85	682	 0.25	 0.71	737.32	566.16	 0.56	10334.47	 1.06	977.59
C9	Foci_processed_11-Sep-2020	228	 0.67	 1.42	190	 0.63	 1.32	812.91	586.36	 0.56	9553.28	 1.07	2453.59
D1	Foci_processed_11-Sep-2020	635	 0.26	 0.70	527	 0.25	 0.70	732.97	551.50	 0.60	9438.57	 1.07	1052.23
D10	Foci_processed_11-Sep-2020	241	 0.63	 1.29	205	 0.63	 1.16	882.10	629.37	 0.55	9681.92	 1.06	2629.41
D11	Foci_processed_11-Sep-2020	114	 0.62	 1.39	97	 0.65	 1.41	878.96	653.28	 0.58	9755.36	 1.05	2522.93
D12	Foci_processed_11-Sep-2020	99	 0.72	 1.34	86	 0.70	 1.35	881.08	651.78	 0.56	10209.45	 1.05	2780.98
D2	Foci_processed_11-Sep-2020	513	 0.45	 1.12	430	 0.45	 1.07	668.60	476.49	 0.58	8929.80	 1.07	1863.85
D3	Foci_processed_11-Sep-2020	97	 0.51	 0.98	85	 0.51	 0.98	743.15	519.54	 0.54	10297.34	 1.04	1963.11
D4	Foci_processed_11-Sep-2020	744	 0.40	 0.85	621	 0.40	 0.82	684.56	499.48	 0.55	9931.04	 1.07	1690.58
D5	Foci_processed_11-Sep-2020	368	 0.35	 0.93	309	 0.40	 1.00	765.53	559.59	 0.60	9054.75	 1.09	1688.42
