name	Position	plate	Radiation	Radiation Type	Radiation Time	Cell Type	Antibody	Date of preparation	UserID	Race	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
P243G5	G5	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	261CC	Mouse	Foci_processed_18-Nov-2016_73665219568_foci_analysis_18-Nov-2016	702	 1.77	 2.45	573	 1.76	 2.40	579.50	330.29	 4.35	2240.21	 1.24	4196.28
P243G6	G6	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	208CC	Mouse	Foci_processed_18-Nov-2016_73665224519_foci_analysis_18-Nov-2016	644	 2.69	 4.01	547	 2.41	 3.13	613.95	333.03	 5.49	2314.06	 1.24	7061.82
P243G7	G7	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	928CC	Mouse	Foci_processed_18-Nov-2016_73665229519_foci_analysis_18-Nov-2016	655	 1.38	 2.16	529	 1.26	 1.87	542.68	324.40	 3.81	2576.13	 1.27	2737.39
P243G8	G8	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	906CC	Mouse	Foci_processed_18-Nov-2016_73665234150_foci_analysis_18-Nov-2016	659	 1.87	 3.14	536	 1.60	 2.34	668.05	373.99	 4.75	2267.81	 1.23	4882.83
P243H1	H1	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	C3H m2	Mouse	Foci_processed_17-Nov-2016_73665199950_foci_analysis_17-Nov-2016	563	 2.40	 2.96	464	 2.31	 2.75	647.45	338.11	 5.37	2293.05	 1.38	6421.94
P243H2	H2	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	C3H f3	Mouse	Foci_processed_18-Nov-2016_73665204295_foci_analysis_18-Nov-2016	599	 2.19	 5.89	493	 1.83	 2.62	787.56	422.18	 4.98	3369.23	 1.33	6533.34
P243H3	H3	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	C57BL m2	Mouse	Foci_processed_18-Nov-2016_73665208984_foci_analysis_18-Nov-2016	754	 1.83	 2.83	645	 1.65	 2.24	584.60	336.91	 4.40	2663.46	 1.21	4554.11
P243H4	H4	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	C57BL f2	Mouse	Foci_processed_18-Nov-2016_73665213794_foci_analysis_18-Nov-2016	775	 1.89	 2.97	630	 1.70	 2.40	559.43	311.50	 4.24	2619.47	 1.15	4438.81
P243H5	H5	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	258CC	Mouse	Foci_processed_18-Nov-2016_73665218948_foci_analysis_18-Nov-2016	715	 1.44	 2.18	593	 1.37	 1.93	556.69	329.98	 4.19	2272.30	 1.28	3412.82
P243H6	H6	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	280CC	Mouse	Foci_processed_18-Nov-2016_73665223892_foci_analysis_18-Nov-2016	697	 1.62	 2.55	559	 1.62	 2.31	524.45	306.28	 4.61	1968.39	 1.21	3710.80
P243H7	H7	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	919CC	Mouse	Foci_processed_18-Nov-2016_73665228934_foci_analysis_18-Nov-2016	692	 1.50	 2.14	551	 1.43	 2.04	559.53	336.88	 4.28	2406.03	 1.27	3211.70
P243H8	H8	P243	0.3	Fe 600 MeV/n	4 hr	Fibro	53BP1	10/9/2016	925CC	Mouse	Foci_processed_18-Nov-2016_73665233528_foci_analysis_18-Nov-2016	685	 1.76	 2.91	553	 1.58	 2.13	692.98	351.59	 4.78	2255.36	 1.23	4532.33
