Well	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
G1	Foci_processed_06-Dec-2020	85	 0.28	 0.75	73	 0.22	 0.58	800.42	594.34	 0.48	7483.12	 1.05	800.21
G10	Foci_processed_06-Dec-2020	226	 0.88	 1.49	181	 0.86	 1.46	943.24	654.14	 0.51	8810.46	 1.04	3874.62
G11	Foci_processed_06-Dec-2020	288	 0.55	 1.27	225	 0.49	 1.16	842.78	611.05	 0.52	7013.40	 1.06	2056.65
G12	Foci_processed_06-Dec-2020	174	 0.99	 1.31	148	 0.99	 1.29	1079.82	776.63	 0.55	8233.47	 1.06	4062.01
G2	Foci_processed_06-Dec-2020	56	 1.00	 2.32	45	 0.89	 2.11	871.48	606.07	 0.50	9390.96	 1.03	3757.13
G3	Foci_processed_06-Dec-2020	134	 0.91	 1.23	117	 0.97	 1.27	982.10	641.24	 0.50	9101.20	 1.04	4213.52
G4	Foci_processed_06-Dec-2020	84	 1.05	 2.25	69	 1.14	 2.42	1145.47	915.49	 0.49	8814.29	 1.04	4697.04
G5	Foci_processed_06-Dec-2020	762	 0.84	 1.39	661	 0.83	 1.37	924.84	659.18	 0.49	8392.63	 1.06	3850.06
G6	Foci_processed_06-Dec-2020	403	 0.80	 1.37	358	 0.81	 1.40	928.77	683.54	 0.51	8649.41	 1.06	3577.90
G7	Foci_processed_06-Dec-2020	153	 0.75	 1.23	124	 0.77	 1.28	939.41	648.70	 0.50	8850.70	 1.05	3609.92
G8	Foci_processed_06-Dec-2020	69	 0.87	 1.37	57	 0.95	 1.43	941.97	671.99	 0.52	9109.54	 1.04	4144.53
G9	Foci_processed_06-Dec-2020	66	 1.21	 1.63	61	 1.26	 1.65	966.99	643.02	 0.52	7665.92	 1.04	5468.15
H1	Foci_processed_06-Dec-2020	230	 0.96	 1.38	188	 1.05	 1.45	1086.80	808.27	 0.47	9602.12	 1.04	4553.88
H10	Foci_processed_06-Dec-2020	96	 0.98	 1.69	78	 0.85	 1.58	1004.88	743.73	 0.50	9428.08	 1.04	3162.06
H11	Foci_processed_06-Dec-2020	242	 0.81	 1.57	196	 0.81	 1.61	1039.33	786.87	 0.53	9201.08	 1.04	3318.16
H12	Foci_processed_06-Dec-2020	503	 0.94	 1.61	422	 0.98	 1.67	1135.41	838.20	 0.52	9443.73	 1.04	4158.09
H2	Foci_processed_06-Dec-2020	223	 1.06	 1.59	195	 1.10	 1.62	1061.73	733.46	 0.47	9940.11	 1.04	4842.62
H3	Foci_processed_06-Dec-2020	201	 0.78	 1.43	173	 0.68	 1.18	972.36	694.36	 0.48	10019.85	 1.04	3054.30
H4	Foci_processed_06-Dec-2020	150	 1.65	 2.16	134	 1.66	 2.13	1081.14	719.83	 0.51	9616.04	 1.04	7248.84
H5	Foci_processed_06-Dec-2020	94	 1.05	 1.69	80	 0.91	 1.42	942.84	712.35	 0.59	8578.23	 1.04	3623.11
H6	Foci_processed_06-Dec-2020	119	 0.72	 1.33	94	 0.78	 1.37	1006.88	708.90	 0.49	10131.51	 1.04	3204.04
H7	Foci_processed_06-Dec-2020	59	 0.47	 1.19	48	 0.42	 1.22	936.38	711.25	 0.51	9278.55	 1.03	1643.77
H8	Foci_processed_06-Dec-2020	86	 1.09	 1.63	71	 1.24	 1.72	992.33	706.08	 0.55	9017.99	 1.04	5317.68
H9	Foci_processed_06-Dec-2020	77	 0.81	 1.46	73	 0.85	 1.49	984.13	711.47	 0.52	9230.64	 1.04	3401.85
