Ion	A	Z	Energy	LET	Dose	Hist	Count	Tr_Tot	Tr_in	DSBs	DSBt	RIFs	NComb	PSurv	lPSurv	PMut*	PMut	SiDom
C	12	6	800	8.38177	4	1000	0	303.886	297.287	139.734	142.67	108.245	47.797	0.324339	1.13973	3.3511e-06	1.0593e-05	0.8
C	12	6	1000	7.94792	0.5	1000	0	39.852	38.976	17.046	17.39	14.487	3.654	0.881108	0.127845	1.0151e-06	1.17577e-06	0.8
C	12	6	1000	7.94792	1	1000	0	79.992	78.272	33.993	34.685	28.478	8.067	0.774202	0.258963	1.80359e-06	2.38651e-06	0.8
C	12	6	1000	7.94792	2	1000	0	160.29	156.799	68.292	69.718	55.979	18.076	0.592169	0.530017	2.8318e-06	4.89585e-06	0.8
C	12	6	1000	7.94792	4	1000	0	320.459	313.509	137.36	140.108	107.212	44.904	0.334143	1.10889	3.35965e-06	1.02947e-05	0.8
C	12	6	1600	7.44685	0.5	1000	0	42.579	41.642	16.164	16.479	13.802	3.466	0.886951	0.121165	9.68478e-07	1.11436e-06	0.8
C	12	6	1600	7.44685	1	1000	0	85.32	83.463	32.418	33.07	27.56	7.014	0.785891	0.243451	1.72306e-06	2.2394e-06	0.8
C	12	6	1600	7.44685	2	1000	0	170.897	167.166	64.861	66.166	53.666	16.265	0.610489	0.498474	2.75076e-06	4.59912e-06	0.8
C	12	6	1600	7.44685	4	1000	0	341.89	334.478	130.036	132.769	102.747	40.983	0.356783	1.0428	3.36943e-06	9.67205e-06	0.8
O	16	8	10	287.268	0.5	1000	0	1.113	1.071	11.555	14.432	3.357	85.487	0.787282	0.526617	9.26995e-07	5.35685e-06	0.8
O	16	8	10	287.268	1	1000	0	2.179	2.106	23.343	29.075	6.708	174.662	0.615929	1.07337	1.46631e-06	1.09216e-05	0.8
O	16	8	10	287.268	2	1000	0	4.394	4.249	50.318	63.226	14.266	388.743	0.363468	2.37965	1.74079e-06	2.42241e-05	0.8
O	16	8	10	287.268	4	1000	0	8.506	8.313	107.321	134.197	30.404	808.783	0.104017	4.96755	1.15078e-06	5.05483e-05	0.8
O	16	8	50	79.5714	0.5	1000	0	3.981	3.845	15.216	16.253	7.968	22.824	0.824248	0.218471	1.37169e-06	2.13015e-06	0.8
O	16	8	50	79.5714	1	1000	0	7.741	7.562	32.664	35.062	16.592	51.802	0.650256	0.48438	2.42279e-06	4.73157e-06	0.8
O	16	8	50	79.5714	2	1000	0	15.904	15.525	67.166	71.977	33.582	108.318	0.413088	1.00444	3.13546e-06	9.81821e-06	0.8
O	16	8	50	79.5714	4	1000	0	31.953	31.234	137.059	146.66	66.322	229.101	0.158392	2.08944	2.51686e-06	2.04515e-05	0.8
O	16	8	100	46.5694	0.5	1000	0	6.707	6.542	16.773	17.491	10.275	14.89	0.839236	0.185782	1.3261e-06	1.77848e-06	0.8
O	16	8	100	46.5694	1	1000	0	13.606	13.276	34.909	36.418	21.036	32.037	0.690123	0.392094	2.31597e-06	3.75794e-06	0.8
O	16	8	100	46.5694	2	1000	0	27.257	26.64	70.4	73.597	41.893	65.433	0.470582	0.795897	3.214e-06	7.63104e-06	0.8
O	16	8	100	46.5694	4	1000	0	54.572	53.397	140.88	147.351	81.056	142.513	0.213999	1.65218	2.96114e-06	1.58898e-05	0.8
O	16	8	200	28.693	0.5	1000	0	10.433	10.196	16.302	16.84	11.475	8.636	0.864343	0.149799	1.15263e-06	1.40944e-06	0.8
O	16	8	200	28.693	1	1000	0	22.078	21.576	35.713	36.917	24.526	20.52	0.721599	0.336491	2.15104e-06	3.17417e-06	0.8
O	16	8	200	28.693	2	1000	0	44.268	43.298	70.853	73.151	48.038	42.755	0.519184	0.677439	3.10834e-06	6.40091e-06	0.8
O	16	8	200	28.693	4	1000	0	88.688	86.768	141.461	146.155	92.193	95.458	0.257861	1.40469	3.19483e-06	1.33221e-05	0.8
O	16	8	400	19.3667	0.5	1000	0	16.399	16.02	17.359	17.82	13.096	6.965	0.865431	0.147431	1.14348e-06	1.37597e-06	0.8
O	16	8	400	19.3667	1	1000	0	32.807	32.072	35.016	35.974	26.343	14.183	0.746369	0.29825	1.99776e-06	2.78423e-06	0.8
O	16	8	400	19.3667	2	1000	0	65.665	64.255	70.38	72.324	51.496	31.89	0.547095	0.616834	3.01904e-06	5.77693e-06	0.8
O	16	8	400	19.3667	4	1000	0	131.454	128.573	140.702	144.454	98.726	72.539	0.287565	1.27712	3.28591e-06	1.20083e-05	0.8
O	16	8	800	14.9009	0.5	1000	0	21.3	20.809	17.252	17.671	13.699	5.533	0.871935	0.139192	1.09084e-06	1.29147e-06	0.8
O	16	8	800	14.9009	1	1000	0	42.556	41.622	34.441	35.233	27.159	11.141	0.760177	0.278082	1.90632e-06	2.58078e-06	0.8
O	16	8	800	14.9009	2	1000	0	85.304	83.452	69.185	70.829	53.294	24.892	0.570036	0.571755	2.9288e-06	5.32072e-06	0.8
O	16	8	800	14.9009	4	1000	0	170.869	167.138	138.686	142.072	102.062	59.384	0.309484	1.19507	3.3277e-06	1.11749e-05	0.8
O	16	8	1000	14.1296	0.5	1000	0	22.422	21.912	16.849	17.237	13.611	4.904	0.876794	0.133259	1.05234e-06	1.23355e-06	0.8
O	16	8	1000	14.1296	1	1000	0	44.905	43.934	33.536	34.29	26.696	10.425	0.767534	0.268509	1.85402e-06	2.4895e-06	0.8
O	16	8	1000	14.1296	2	1000	0	90.08	88.13	68.068	69.634	52.819	23.545	0.577744	0.557381	2.89837e-06	5.18169e-06	0.8
O	16	8	1000	14.1296	4	1000	0	180.354	176.412	137.38	140.589	101.943	57.01	0.315765	1.17365	3.33714e-06	1.0965e-05	0.8
O	16	8	1600	13.2388	0.5	1000	0	23.98	23.434	16.04	16.372	13.153	4.33	0.884019	0.124899	9.93488e-07	1.15423e-06	0.8
O	16	8	1600	13.2388	1	1000	0	47.861	46.827	32.125	32.821	26.019	9.115	0.779348	0.252602	1.77298e-06	2.33698e-06	0.8
O	16	8	1600	13.2388	2	1000	0	96.072	93.998	64.469	65.933	50.747	21.037	0.598141	0.521348	2.81122e-06	4.83952e-06	0.8
O	16	8	1600	13.2388	4	1000	0	192.287	188.088	129.97	132.806	98.046	49.685	0.343289	1.08742	3.3618e-06	1.01365e-05	0.8
Ne	20	10	10	440.359	0.5	1000	0	0.72	0.699	10.902	14.96	3.035	133.475	0.791995	0.774671	7.04494e-07	7.93641e-06	0.8
Ne	20	10	10	440.359	1	1000	0	1.435	1.379	21.304	29.149	5.756	260.825	0.641797	1.51326	1.02071e-06	1.55039e-05	0.8
Ne	20	10	10	440.359	2	1000	0	2.897	2.798	44.235	60.475	11.768	546.981	0.421767	3.16939	1.20921e-06	3.24765e-05	0.8
Ne	20	10	10	440.359	4	1000	0	5.699	5.553	97.991	134.388	25.343	1271.1	0.150868	7.32656	8.99323e-07	7.51234e-05	0.8
Ne	20	10	50	124.291	0.5	1000	0	2.536	2.454	13.702	14.989	6.346	31.327	0.814657	0.253899	1.32829e-06	2.5106e-06	0.8
Ne	20	10	50	124.291	1	1000	0	5.054	4.926	30.858	33.984	13.712	77.455	0.624155	0.60844	2.27176e-06	6.03375e-06	0.8
Ne	20	10	50	124.291	2	1000	0	9.704	9.481	62.945	69.377	27.66	155.893	0.373942	1.23074	2.92158e-06	1.21993e-05	0.8
Ne	20	10	50	124.291	4	1000	0	20.504	20.025	133.389	146.892	57.235	341.963	0.125848	2.66649	2.02897e-06	2.64613e-05	0.8
Ne	20	10	100	72.7635	0.5	1000	0	4.329	4.193	15.708	16.689	8.602	20.94	0.826735	0.211601	1.37245e-06	2.05466e-06	0.8
Ne	20	10	100	72.7635	1	1000	0	8.398	8.207	33.27	35.308	17.817	46.054	0.662429	0.45661	2.38797e-06	4.44005e-06	0.8
Ne	20	10	100	72.7635	2	1000	0	17.396	16.991	68.644	72.998	36.098	95.934	0.425317	0.947691	3.18458e-06	9.21784e-06	0.8
Ne	20	10	100	72.7635	4	1000	0	34.876	34.097	139.138	147.682	71.067	205.709	0.17267	1.97656	2.6223e-06	1.92663e-05	0.8
Ne	20	10	200	44.8328	0.5	1000	0	6.933	6.752	16.621	17.358	10.425	13.853	0.843685	0.179659	1.2943e-06	1.71587e-06	0.8
Ne	20	10	200	44.8328	1	1000	0	14.216	13.86	34.989	36.523	21.754	29.93	0.69619	0.382007	2.28047e-06	3.65191e-06	0.8
Ne	20	10	200	44.8328	2	1000	0	28.226	27.596	69.86	72.716	42.781	60.247	0.483863	0.763916	3.18668e-06	7.30576e-06	0.8
Ne	20	10	200	44.8328	4	1000	0	56.784	55.558	140.277	146.32	83.189	131.174	0.224634	1.58788	3.02385e-06	1.52291e-05	0.8
Ne	20	10	400	30.2604	0.5	1000	0	9.933	9.72	16.158	16.694	11.431	8.409	0.866325	0.147724	1.13449e-06	1.38913e-06	0.8
Ne	20	10	400	30.2604	1	1000	0	20.923	20.442	34.8	35.94	24.146	19.807	0.728752	0.326719	2.10367e-06	3.08114e-06	0.8
Ne	20	10	400	30.2604	2	1000	0	41.966	41.044	69.501	71.861	47.286	41.918	0.52557	0.665069	3.08465e-06	6.28362e-06	0.8
Ne	20	10	400	30.2604	4	1000	0	84.076	82.257	140.046	144.756	91.131	95.089	0.260932	1.39402	3.19988e-06	1.32235e-05	0.8
Ne	20	10	800	23.2827	0.5	1000	0	13.607	13.277	16.935	17.422	12.576	7.391	0.865967	0.147104	1.13944e-06	1.37614e-06	0.8
Ne	20	10	800	23.2827	1	1000	0	27.259	26.642	34.638	35.655	25.513	15.651	0.743262	0.303733	2.01551e-06	2.84423e-06	0.8
Ne	20	10	800	23.2827	2	1000	0	54.56	53.387	68.695	70.529	49.863	31.829	0.553785	0.60525	2.99203e-06	5.67237e-06	0.8
Ne	20	10	800	23.2827	4	1000	0	109.312	106.933	138.465	142.342	95.614	76.071	0.286875	1.28187	3.28333e-06	1.20768e-05	0.8
Ne	20	10	1000	22.0775	0.5	1000	0	14.353	14.003	16.742	17.153	12.722	6.54	0.870938	0.141075	1.09856e-06	1.31574e-06	0.8
Ne	20	10	1000	22.0775	1	1000	0	28.762	28.111	33.782	34.727	25.196	14.268	0.752082	0.290852	1.96007e-06	2.71836e-06	0.8
Ne	20	10	1000	22.0775	2	1000	0	57.599	56.361	67.87	69.7	49.588	30.392	0.560238	0.592715	2.96827e-06	5.54922e-06	0.8
Ne	20	10	1000	22.0775	4	1000	0	115.264	112.739	135.412	139.019	95.026	69.665	0.300845	1.22833	3.31893e-06	1.15488e-05	0.8
Ne	20	10	1600	20.6857	0.5	1000	0	15.396	15.033	15.751	16.157	12.153	5.705	0.879701	0.130561	1.02951e-06	1.21515e-06	0.8
Ne	20	10	1600	20.6857	1	1000	0	30.676	29.99	31.907	32.738	24.269	12.521	0.7679	0.269452	1.8524e-06	2.51326e-06	0.8
Ne	20	10	1600	20.6857	2	1000	0	61.542	60.224	64.341	65.897	48.081	26.338	0.584484	0.548157	2.8697e-06	5.11915e-06	0.8
Ne	20	10	1600	20.6857	4	1000	0	123.13	120.445	128.769	132.058	92.262	61.863	0.326511	1.14483	3.34976e-06	1.07413e-05	0.8
Si	28	14	10	821.226	0.5	1000	0	0.389	0.378	10.846	17.994	2.831	300.364	0.820036	1.64486	2.94904e-07	1.6975e-05	0.8
Si	28	14	10	821.226	1	1000	0	0.77	0.744	18.254	29.705	4.96	478.299	0.71147	2.62587	5.14026e-07	2.70903e-05	0.8
Si	28	14	10	821.226	2	1000	0	1.529	1.468	35.675	58.163	9.162	997.177	0.522374	5.45087	6.87882e-07	5.62664e-05	0.8
Si	28	14	10	821.226	4	1000	0	3.104	2.993	75.468	123.474	18.893	2085.45	0.285964	11.4112	6.46433e-07	0.000117777	0.8
Si	28	14	50	243.148	0.5	1000	0	1.303	1.252	13.917	16.312	5.462	69.04	0.777256	0.454543	1.13309e-06	4.58909e-06	0.8
Si	28	14	50	243.148	1	1000	0	2.606	2.518	26.613	31.105	10.476	125.23	0.622805	0.834012	1.72576e-06	8.40967e-06	0.8
Si	28	14	50	243.148	2	1000	0	5.181	5.06	58.995	69.558	22.2	305.945	0.351075	1.99714	2.05978e-06	2.01822e-05	0.8
Si	28	14	50	243.148	4	1000	0	9.905	9.686	117.408	138.391	42.951	608.631	0.115683	3.97311	1.40429e-06	4.01504e-05	0.8
Si	28	14	100	142.591	0.5	1000	0	2.2	2.125	14.492	15.928	6.629	37.286	0.800487	0.290186	1.36064e-06	2.88022e-06	0.8
Si	28	14	100	142.591	1	1000	0	4.42	4.277	30.416	33.577	13.879	80.3	0.629423	0.620394	2.20148e-06	6.16194e-06	0.8
Si	28	14	100	142.591	2	1000	0	8.562	8.364	64.147	70.904	28.229	172.819	0.363157	1.32665	2.81671e-06	1.31848e-05	0.8
Si	28	14	100	142.591	4	1000	0	17.869	17.455	132.657	146.345	57.455	366.151	0.121923	2.78642	1.95653e-06	2.77156e-05	0.8
Si	28	14	200	87.8714	0.5	1000	0	3.632	3.502	15.284	16.245	8.252	22.117	0.827827	0.214815	1.33861e-06	2.09214e-06	0.8
Si	28	14	200	87.8714	1	1000	0	7.073	6.901	33.223	35.447	17.276	53.003	0.651608	0.492922	2.36825e-06	4.81712e-06	0.8
Si	28	14	200	87.8714	2	1000	0	14.448	14.089	68.132	72.509	35.279	106.212	0.417753	0.997038	3.11725e-06	9.73634e-06	0.8
Si	28	14	200	87.8714	4	1000	0	28.894	28.242	137.644	146.804	69.044	225.205	0.16282	2.07047	2.53655e-06	2.02526e-05	0.8
Si	28	14	400	59.3104	0.5	1000	0	5.296	5.165	16.222	17.014	9.707	16.1	0.838815	0.188958	1.31536e-06	1.81584e-06	0.8
Si	28	14	400	59.3104	1	1000	0	10.119	9.905	32.594	34.14	19.449	32.366	0.702629	0.379466	2.21399e-06	3.64683e-06	0.8
Si	28	14	400	59.3104	2	1000	0	21.424	20.938	68.883	72.191	40.106	72.33	0.46681	0.822242	3.1679e-06	7.91813e-06	0.8
Si	28	14	400	59.3104	4	1000	0	42.878	41.939	137.451	144.103	77.645	153.282	0.209639	1.68671	2.92204e-06	1.62786e-05	0.8
Si	28	14	800	45.6341	0.5	1000	0	6.824	6.648	16.265	16.902	10.612	12.031	0.852426	0.167503	1.23194e-06	1.59332e-06	0.8
Si	28	14	800	45.6341	1	1000	0	13.928	13.582	33.691	35.036	21.717	25.919	0.714713	0.352213	2.1763e-06	3.35486e-06	0.8
